data,load,GRU,lstm,RF,LM,GB,SVM,SVR,Target2
2013/1/3 18:00,52943.8,54023.27734,53918.10156,51443.1277,50907.29642,53787.50465,55113.48685,51857.13933,51815.4
2013/1/3 19:00,50982.75,50199.42188,49911.54297,50361.27076,49166.10928,52601.54201,53300.43336,49966.86377,49763.35
2013/1/3 20:00,47377.33,47935.04688,47579.61719,48097.11685,45869.9806,50663.42512,49913.80758,45212.84708,46235.28
2013/1/3 21:00,45320.73,45185.33984,44879.15625,46630.42768,43666.51172,48082.63458,47858.2533,41362.28862,44038.54
2013/1/3 22:00,43873.83,44154.0625,44630.46094,45215.3703,42437.64243,46777.42895,46510.38373,39018.62349,42616.21
2013/1/3 23:00,39706.94,39126.07813,39641.06641,41716.80371,39156.35196,42991.37969,43171.71723,34320.56003,39399.36
2013/1/4 0:00,36630.23,36244.09766,36387.39453,36853.82529,35967.17618,38766.63897,34625.69049,28014.03704,35996.87
2013/1/4 1:00,34171.41,34065.64453,34105,35309.12719,33902.23964,36378.01613,32784.71518,25811.57156,34023.99
2013/1/4 2:00,33236.84,33016.92188,32916.32813,33982.303,33050.13024,35486.00571,32429.10246,25717.51632,33003.88
2013/1/4 3:00,33601.75,32864.49219,32901.90625,34315.05492,33424.47985,35580.81423,33327.98893,27073.95875,33145.84
2013/1/4 4:00,34695.57,33837.84375,33827.36328,34751.67635,34655.29211,35787.88143,34967.41368,28901.16084,33749.17
2013/1/4 5:00,37016.07,34435.08984,34541.78516,35688.19406,36862.74534,36477.74296,37451.13185,31515.79793,33913.88
2013/1/4 6:00,41641.6,34632.71094,35132.27734,38041.90865,41165.65587,38038.31674,41328.23606,34199.13785,34228.74
2013/1/4 7:00,46490.99,36421.57813,36689.91406,40908.36507,45619.75413,40891.94419,45215.4049,35692.78392,36836.8
2013/1/4 8:00,49689.64,39846.71875,39660.19141,44132.62106,48386.3779,44725.00718,48301.09584,37601.165,40234.74
